Calendar_Year;Calendar_Month;Account_LvL1_Text;Account_LvL1_Key;Amount
2015;January;COGS (excl. Mfg. Ove;LCAMPR.2000;-515,31
2015;January;Distribution Cost;LCAMPR.3000;-88,78
2015;January;Gross Revenue;LCAMPR.1100;3135,52
2015;January;Marketing Costs;LCAMPR.4000;-107,23
2015;January;Operating Expenses;LCAMPR.5000;-804,72
2015;January;Sales Discounts;LCAMPR.1400;-79,07
2015;January;Trade Contributions;LCAMPR.1700;-133,87
2015;February;COGS (excl. Mfg. Ove;LCAMPR.2000;-375,44
2015;February;Distribution Cost;LCAMPR.3000;-67,95
2015;February;Gross Revenue;LCAMPR.1100;2397,87
2015;February;Marketing Costs;LCAMPR.4000;-163,51
2015;February;Operating Expenses;LCAMPR.5000;-774,67
2015;February;Sales Discounts;LCAMPR.1400;-75,14
2015;February;Trade Contributions;LCAMPR.1700;-120,84
2015;March;COGS (excl. Mfg. Ove;LCAMPR.2000;-326,95
2015;March;Distribution Cost;LCAMPR.3000;-71,55
2015;March;Gross Revenue;LCAMPR.1100;2363,09
2015;March;Marketing Costs;LCAMPR.4000;-199,49
2015;March;Operating Expenses;LCAMPR.5000;-915,01
2015;March;Sales Discounts;LCAMPR.1400;-76,72
2015;March;Trade Contributions;LCAMPR.1700;-117,27
2015;April;COGS (excl. Mfg. Ove;LCAMPR.2000;-215,44
2015;April;Distribution Cost;LCAMPR.3000;-62,65
2015;April;Financial & secondar;LCAMPR.8100;0
2015;April;Gross Revenue;LCAMPR.1100;1991,97
2015;April;Marketing Costs;LCAMPR.4000;-134,36
2015;April;Operating Expenses;LCAMPR.5000;-946,59
2015;April;Sales Discounts;LCAMPR.1400;-53,15
2015;April;Trade Contributions;LCAMPR.1700;-106,08
2015;May;COGS (excl. Mfg. Ove;LCAMPR.2000;-241,71
2015;May;Distribution Cost;LCAMPR.3000;-70,31
2015;May;Financial & secondar;LCAMPR.8100;0
2015;May;Gross Revenue;LCAMPR.1100;2029,81
2015;May;Marketing Costs;LCAMPR.4000;-172,06
2015;May;Operating Expenses;LCAMPR.5000;-929,6
2015;May;Sales Discounts;LCAMPR.1400;-72,8
2015;May;Trade Contributions;LCAMPR.1700;-102,71
2015;June;COGS (excl. Mfg. Ove;LCAMPR.2000;-238,33
2015;June;Distribution Cost;LCAMPR.3000;-66,58
2015;June;Financial & secondar;LCAMPR.8100;0
2015;June;Gross Revenue;LCAMPR.1100;2073,35
2015;June;Marketing Costs;LCAMPR.4000;-141,38
2015;June;Operating Expenses;LCAMPR.5000;-1006,34
2015;June;Sales Discounts;LCAMPR.1400;-72,88
2015;June;Trade Contributions;LCAMPR.1700;-61,8
2015;July;COGS (excl. Mfg. Ove;LCAMPR.2000;-374,75
2015;July;Distribution Cost;LCAMPR.3000;-73,46
2015;July;Financial & secondar;LCAMPR.8100;0
2015;July;Gross Revenue;LCAMPR.1100;2715,93
2015;July;Marketing Costs;LCAMPR.4000;-120,628817
2015;July;Operating Expenses;LCAMPR.5000;-904,4902777
2015;July;Sales Discounts;LCAMPR.1400;-62,8789507
2015;July;Trade Contributions;LCAMPR.1700;-100,9964396
2015;August;COGS (excl. Mfg. Ove;LCAMPR.2000;-494,5802566
2015;August;Distribution Cost;LCAMPR.3000;-87,4905949
2015;August;Gross Revenue;LCAMPR.1100;2969,544833
2015;August;Marketing Costs;LCAMPR.4000;-126,7363814
2015;August;Operating Expenses;LCAMPR.5000;-954,1874534
2015;August;Sales Discounts;LCAMPR.1400;-89,22879593
2015;August;Trade Contributions;LCAMPR.1700;-125,2019543
2015;September;COGS (excl. Mfg. Ove;LCAMPR.2000;-653,4692912
2015;September;Distribution Cost;LCAMPR.3000;-90,76846255
2015;September;Gross Revenue;LCAMPR.1100;3682,609315
2015;September;Marketing Costs;LCAMPR.4000;-173,7285518
2015;September;Operating Expenses;LCAMPR.5000;-1008,711735
2015;September;Sales Discounts;LCAMPR.1400;-100,5016858
2015;September;Trade Contributions;LCAMPR.1700;-185,6749887
2015;October;COGS (excl. Mfg. Ove;LCAMPR.2000;-814,1369998
2015;October;Distribution Cost;LCAMPR.3000;-106,0356361
2015;October;Financial & secondar;LCAMPR.8100;-0,11063354
2015;October;Gross Revenue;LCAMPR.1100;4679,931212
2015;October;Marketing Costs;LCAMPR.4000;-257,6811242
2015;October;Operating Expenses;LCAMPR.5000;-1194,861004
2015;October;Sales Discounts;LCAMPR.1400;-151,8301422
2015;October;Trade Contributions;LCAMPR.1700;-260,7607544
2015;November;COGS (excl. Mfg. Ove;LCAMPR.2000;-655,3358673
2015;November;Distribution Cost;LCAMPR.3000;-92,93834079
2015;November;Gross Revenue;LCAMPR.1100;4037,551777
2015;November;Marketing Costs;LCAMPR.4000;-340,0782021
2015;November;Operating Expenses;LCAMPR.5000;-1103,572036
2015;November;Sales Discounts;LCAMPR.1400;-100,8473149
2015;November;Trade Contributions;LCAMPR.1700;-262,8207807
2015;December;COGS (excl. Mfg. Ove;LCAMPR.2000;-623,0480794
2015;December;Distribution Cost;LCAMPR.3000;-109,5183945
2015;December;Gross Revenue;LCAMPR.1100;3235,522307
2015;December;Marketing Costs;LCAMPR.4000;-492,7499151
2015;December;Operating Expenses;LCAMPR.5000;-1814,32507
2015;December;Sales Discounts;LCAMPR.1400;-74,07355516
2015;December;Trade Contributions;LCAMPR.1700;-238,7970813
