Calendar_Year;Calendar_Month;Account_LvL1_Text;Account_LvL1_Key;Amount
2022;January;COGS (excl. Mfg. Ove;LCAMPR.2000;-857,52
2022;January;Distribution Cost;LCAMPR.3000;-226,22
2022;January;Gross Revenue;LCAMPR.1100;5085,09
2022;January;Marketing Costs;LCAMPR.4000;-234,48
2022;January;Operating Expenses;LCAMPR.5000;-1581,57
2022;January;Sales Discounts;LCAMPR.1400;-147,73
2022;January;Trade Contributions;LCAMPR.1700;-259,56
2022;February;COGS (excl. Mfg. Ove;LCAMPR.2000;-790,51
2022;February;Distribution Cost;LCAMPR.3000;-192,34
2022;February;Gross Revenue;LCAMPR.1100;4611,65
2022;February;Marketing Costs;LCAMPR.4000;-232,69
2022;February;Operating Expenses;LCAMPR.5000;-1591,41
2022;February;Sales Discounts;LCAMPR.1400;-115,68
2022;February;Trade Contributions;LCAMPR.1700;-254,38
2022;March;COGS (excl. Mfg. Ove;LCAMPR.2000;-752,86
2022;March;Distribution Cost;LCAMPR.3000;-214,28
2022;March;Gross Revenue;LCAMPR.1100;4704,59
2022;March;Marketing Costs;LCAMPR.4000;-375,3
2022;March;Operating Expenses;LCAMPR.5000;-1809,03
2022;March;Sales Discounts;LCAMPR.1400;-109,45
2022;March;Trade Contributions;LCAMPR.1700;-280,47
2022;April;COGS (excl. Mfg. Ove;LCAMPR.2000;-650,42
2022;April;Distribution Cost;LCAMPR.3000;-213,46
2022;April;Gross Revenue;LCAMPR.1100;4201,84
2022;April;Marketing Costs;LCAMPR.4000;-346,28
2022;April;Operating Expenses;LCAMPR.5000;-1581,97
2022;April;Sales Discounts;LCAMPR.1400;-108,48
2022;April;Trade Contributions;LCAMPR.1700;-233,95
2022;May;COGS (excl. Mfg. Ove;LCAMPR.2000;-839,12
2022;May;Distribution Cost;LCAMPR.3000;-282,17
2022;May;Gross Revenue;LCAMPR.1100;4887,35
2022;May;Marketing Costs;LCAMPR.4000;-378,17
2022;May;Operating Expenses;LCAMPR.5000;-1955,23
2022;May;Sales Discounts;LCAMPR.1400;-146,82
2022;May;Trade Contributions;LCAMPR.1700;-271,49
2022;June;COGS (excl. Mfg. Ove;LCAMPR.2000;-366,65
2022;June;Distribution Cost;LCAMPR.3000;-264,17
2022;June;Gross Revenue;LCAMPR.1100;4331,05
2022;June;Marketing Costs;LCAMPR.4000;-424,05
2022;June;Operating Expenses;LCAMPR.5000;-1892,61
2022;June;Sales Discounts;LCAMPR.1400;-121,47
2022;June;Trade Contributions;LCAMPR.1700;-176,81
2022;July;COGS (excl. Mfg. Ove;LCAMPR.2000;-1001,48
2022;July;Distribution Cost;LCAMPR.3000;-235,56
2022;July;Gross Revenue;LCAMPR.1100;5292,25
2022;July;Marketing Costs;LCAMPR.4000;-412,6
2022;July;Operating Expenses;LCAMPR.5000;-1807,69
2022;July;Sales Discounts;LCAMPR.1400;-180,27
2022;July;Trade Contributions;LCAMPR.1700;-257,51
