Calendar_Year;Calendar_Month;Account_LvL1_Text;Account_LvL1_Key;Amount
2020;January;COGS (excl. Mfg. Ove;LCAMPR.2000;-554,73
2020;January;Distribution Cost;LCAMPR.3000;-96,48
2020;January;Gross Revenue;LCAMPR.1100;3640,25
2020;January;Marketing Costs;LCAMPR.4000;-185,03
2020;January;Operating Expenses;LCAMPR.5000;-1164,75
2020;January;Sales Discounts;LCAMPR.1400;-100,47
2020;January;Trade Contributions;LCAMPR.1700;-201,11
2020;February;COGS (excl. Mfg. Ove;LCAMPR.2000;-340,01
2020;February;Distribution Cost;LCAMPR.3000;-81,66
2020;February;Gross Revenue;LCAMPR.1100;2227,2
2020;February;Marketing Costs;LCAMPR.4000;-178,48
2020;February;Operating Expenses;LCAMPR.5000;-1157,94
2020;February;Sales Discounts;LCAMPR.1400;-53,52
2020;February;Trade Contributions;LCAMPR.1700;-147,31
2020;March;COGS (excl. Mfg. Ove;LCAMPR.2000;-351,29
2020;March;Distribution Cost;LCAMPR.3000;-89,99
2020;March;Gross Revenue;LCAMPR.1100;2563,29
2020;March;Marketing Costs;LCAMPR.4000;-216,26
2020;March;Operating Expenses;LCAMPR.5000;-1197,03
2020;March;Sales Discounts;LCAMPR.1400;-70,94
2020;March;Trade Contributions;LCAMPR.1700;-150,71
2020;April;COGS (excl. Mfg. Ove;LCAMPR.2000;-346,89
2020;April;Distribution Cost;LCAMPR.3000;-110,13
2020;April;Gross Revenue;LCAMPR.1100;2548,04
2020;April;Marketing Costs;LCAMPR.4000;-235,92
2020;April;Operating Expenses;LCAMPR.5000;-1306,77
2020;April;Sales Discounts;LCAMPR.1400;-68,74
2020;April;Trade Contributions;LCAMPR.1700;-150,02
2020;May;COGS (excl. Mfg. Ove;LCAMPR.2000;-231,72
2020;May;Distribution Cost;LCAMPR.3000;-164,73
2020;May;Gross Revenue;LCAMPR.1100;2533,82
2020;May;Marketing Costs;LCAMPR.4000;-212,13
2020;May;Operating Expenses;LCAMPR.5000;-1215,86
2020;May;Sales Discounts;LCAMPR.1400;-107,09
2020;May;Trade Contributions;LCAMPR.1700;-168,84
2020;June;COGS (excl. Mfg. Ove;LCAMPR.2000;-318,11
2020;June;Distribution Cost;LCAMPR.3000;-183,27
2020;June;Gross Revenue;LCAMPR.1100;3166,89
2020;June;Marketing Costs;LCAMPR.4000;-252,1
2020;June;Operating Expenses;LCAMPR.5000;-1152,55
2020;June;Sales Discounts;LCAMPR.1400;-89,9
2020;June;Trade Contributions;LCAMPR.1700;-172,93
2020;July;COGS (excl. Mfg. Ove;LCAMPR.2000;-440,54
2020;July;Distribution Cost;LCAMPR.3000;-144,98
2020;July;Gross Revenue;LCAMPR.1100;3477,76
2020;July;Marketing Costs;LCAMPR.4000;-210,37
2020;July;Operating Expenses;LCAMPR.5000;-1293,6
2020;July;Sales Discounts;LCAMPR.1400;-90,22
2020;July;Trade Contributions;LCAMPR.1700;-200,25
2020;August;COGS (excl. Mfg. Ove;LCAMPR.2000;-797,9318428
2020;August;Distribution Cost;LCAMPR.3000;-176,2875214
2020;August;Gross Revenue;LCAMPR.1100;4946,913518
2020;August;Marketing Costs;LCAMPR.4000;-282,4248249
2020;August;Operating Expenses;LCAMPR.5000;-1342,567789
2020;August;Sales Discounts;LCAMPR.1400;-131,6030334
2020;August;Trade Contributions;LCAMPR.1700;-267,5633291
2020;September;COGS (excl. Mfg. Ove;LCAMPR.2000;-929,573648
2020;September;Distribution Cost;LCAMPR.3000;-154,7033177
2020;September;Gross Revenue;LCAMPR.1100;5610,937966
2020;September;Marketing Costs;LCAMPR.4000;-315,65948
2020;September;Operating Expenses;LCAMPR.5000;-1443,461619
2020;September;Sales Discounts;LCAMPR.1400;-140,9052207
2020;September;Trade Contributions;LCAMPR.1700;-310,0310609
2020;October;COGS (excl. Mfg. Ove;LCAMPR.2000;-1156,333043
2020;October;Distribution Cost;LCAMPR.3000;-183,0210173
2020;October;Gross Revenue;LCAMPR.1100;6496,165387
2020;October;Marketing Costs;LCAMPR.4000;-444,5945685
2020;October;Operating Expenses;LCAMPR.5000;-1477,805857
2020;October;Sales Discounts;LCAMPR.1400;-199,8349442
2020;October;Trade Contributions;LCAMPR.1700;-421,843847
2020;November;COGS (excl. Mfg. Ove;LCAMPR.2000;-1085,345938
2020;November;Distribution Cost;LCAMPR.3000;-174,3440566
2020;November;Gross Revenue;LCAMPR.1100;6129,469845
2020;November;Marketing Costs;LCAMPR.4000;-790,7837633
2020;November;Operating Expenses;LCAMPR.5000;-2039,113023
2020;November;Sales Discounts;LCAMPR.1400;-149,7265675
2020;November;Trade Contributions;LCAMPR.1700;-478,0396344
2020;December;COGS (excl. Mfg. Ove;LCAMPR.2000;-713,0387105
2020;December;Distribution Cost;LCAMPR.3000;-205,4397517
2020;December;Gross Revenue;LCAMPR.1100;4308,70764
2020;December;Marketing Costs;LCAMPR.4000;-850,7906238
2020;December;Operating Expenses;LCAMPR.5000;-2180,371523
2020;December;Sales Discounts;LCAMPR.1400;-149,4121757
2020;December;Trade Contributions;LCAMPR.1700;-394,1795283
